Symbol,StockName,Sector,Currency
5TR.SI,LIBRA GROUP LIMITED ,Industrials,SGD
F1E.SI,LOW KENG HUAT ,Industrials,SGD
L19.SI,LUM CHANG HOLDINGS LIMITED ,Industrials,SGD
L09.SI,LUNG KEE (BERMUDA) HLDGS LTD ,Industrials,SGD
BKK.SI,LUXKING GROUP HOLDINGS LIMITED ,Industrials,CNY
L02.SI,MANHATTAN RESOURCES LIMITED ,Industrials,SGD
5LY.SI,MARCO POLO MARINE LTD. ,Industrials,SGD
5DS.SI,MEGACHEM LIMITED ,Industrials,SGD
5DX.SI,METAL COMPONENT ENGG LTD ,Industrials,SGD
V3M.SI,METECH INTERNATIONAL LTD ,Industrials,SGD
M03.SI,MIYOSHI LIMITED ,Industrials,SGD
F3V.SI,MMP RESOURCES LIMITED ,Industrials,SGD
5WE.SI,MOYA HOLDINGS ASIA LIMITED ,Industrials,SGD
40U.SI,MS HOLDINGS LIMITED ,Industrials,SGD
5QR.SI,MSM INTERNATIONAL LIMITED ,Industrials,SGD
MF6.SI,MUN SIONG ENGINEERING LIMITED ,Industrials,SGD
N4E.SI,NAM CHEONG LIMITED ,Industrials,MYR
G0I.SI,NAM LEE PRESSED METAL INDS LTD ,Industrials,SGD
5IF.SI,NATURAL COOL HOLDINGS LIMITED ,Industrials,SGD
5UJ.SI,NEO GROUP LIMITED ,Industrials,SGD
5FX.SI,NEW WAVE HOLDINGS LTD. ,Industrials,SGD
N32.SI,NIPPECRAFT LIMITED ,Industrials,USD
CGP.SI,NOBLE GROUP LIMITED ,Industrials,SGD
MR7.SI,NORDIC GROUP LIMITED ,Industrials,SGD
1B6.SI,OCEAN SKY INTERNATIONAL LTD ,Industrials,SGD
S3N.SI,OKH GLOBAL LTD. ,Industrials,SGD
5CF.SI,OKP HOLDINGS LIMITED ,Industrials,SGD
5AI.SI,P5 CAPITAL HOLDINGS LTD. ,Industrials,SGD
5EW.SI,PAN ASIAN HOLDINGS LIMITED ,Industrials,SGD
AZY.SI,"PAN OCEAN CO., LTD. ",Industrials,USD
P52.SI,PAN-UNITED CORPORATION LTD ,Industrials,SGD
IX2.SI,PEC LTD. ,Industrials,SGD
BTM.SI,PENGUIN INTERNATIONAL LIMITED ,Industrials,SGD
583.SI,PROGEN HOLDINGS LTD ,Industrials,SGD
BLL.SI,PSL HOLDINGS LTD ,Industrials,SGD
B66.SI,PT BERLIAN LAJU TANKER TBK ,Industrials,USD
K22.SI,RAFFLES UNITED HOLDINGS LTD. ,Industrials,SGD
NEX.SI,RECLAIMS GLOBAL LIMITED ,Industrials,SGD
AP4.SI,RIVERSTONE HOLDINGS LIMITED ,Industrials,MYR
BDN.SI,RYOBI KISO HOLDINGS LTD. ,Industrials,USD
S56.SI,SAMUDERA SHIPPING LINE LTD ,Industrials,USD
S46.SI,SAN TEH LIMITED ,Industrials,SGD
1E3.SI,SANLI ENVIRONMENTAL LIMITED ,Industrials,SGD
580.SI,SANTAK HOLDINGS LIMITED ,Industrials,SGD
BRD.SI,SAPPHIRE CORPORATION LIMITED ,Industrials,SGD
U77.SI,SARINE TECHNOLOGIES LTD ,Industrials,USD
S58.SI,SATS LTD. ,Industrials,SGD
5PL.SI,SBI OFFSHORE LIMITED ,Industrials,SGD
S61.SI,SBS TRANSIT LTD ,Industrials,SGD
43B.SI,SECURA GROUP LIMITED ,Industrials,SGD
U96.SI,SEMBCORP INDUSTRIES LTD ,Industrials,SGD
S51.SI,SEMBCORP MARINE LTD ,Industrials,SGD
5BS.SI,SEN YUE HOLDINGS LIMITED ,Industrials,SGD
IW5.SI,SEROJA INVESTMENTS LIMITED ,Industrials,SGD
40R.SI,SERRANO LIMITED ,Industrials,USD
AWM.SI,SHANGHAI TURBO ENTERPRISES LTD ,Industrials,SGD
BJW.SI,SHINVEST HOLDING LTD. ,Industrials,SGD
566.SI,SHS HOLDINGS LTD. ,Industrials,SGD
S59.SI,SIA ENGINEERING CO LTD ,Industrials,SGD
B7K.SI,SIN GHEE HUAT CORPORATION LTD. ,Industrials,SGD
BKA.SI,SIN HENG HEAVY MACHINERY LTD ,Industrials,SGD
5UN.SI,SINCAP GROUP LIMITED ,Industrials,SGD
C6L.SI,SINGAPORE AIRLINES LTD ,Industrials,SGD
5WG.SI,SINGAPORE KITCHEN EQUIPMENTLTD ,Industrials,SGD
S08.SI,SINGAPORE POST LIMITED ,Industrials,SGD
S19.SI,SINGAPORE SHIPPING CORP LTD ,Industrials,USD
S63.SI,SINGAPORE TECH ENGINEERING LTD ,Industrials,SGD
S7P.SI,SOILBUILD CONSTRUCTION GRP LTD ,Industrials,SGD
5MD.SI,SOON LIAN HOLDINGS LIMITED ,Industrials,SGD
AWE.SI,SP CORPORATION LIMITED ,Industrials,SGD
564.SI,SPINDEX INDUSTRIES LIMITED ,Industrials,SGD
40D.SI,STARBURST HOLDINGS LIMITED ,Industrials,SGD
BHQ.SI,SUNNINGDALE TECH LTD ,Industrials,SGD
5GD.SI,SUNPOWER GROUP LTD. ,Industrials,CNY
581.SI,SUNRISE SHARES HOLDINGS LTD. ,Industrials,SGD
QF6.SI,SWEE HONG LIMITED ,Industrials,SGD
5UO.SI,SYSMA HOLDINGS LIMITED ,Industrials,SGD
PA3.SI,TA CORPORATION LTD ,Industrials,SGD
500.SI,TAI SIN ELECTRIC LIMITED ,Industrials,SGD
561.SI,TECKWAH INDUSTRIAL CORP LTD ,Industrials,SGD
M1Z.SI,TEE INTERNATIONAL LIMITED ,Industrials,SGD
5OQ.SI,TEHO INTERNATIONAL INC LTD. ,Industrials,SGD
A50.SI,THOMSON MEDICAL GROUP LIMITED ,Industrials,SGD
BFI.SI,TIONG SENG HOLDINGS LIMITED ,Industrials,SGD
BQM.SI,TIONG WOON CORP HOLDING LTD ,Industrials,SGD
CYW.SI,TRICKLESTAR LIMITED ,Industrials,SGD
5G9.SI,TRITECH GROUP LIMITED ,Industrials,SGD
RC5.SI,TRIYARDS HOLDINGS LIMITED ,Industrials,USD
K1Q.SI,TTJ HOLDINGS LIMITED ,Industrials,SGD
BLA.SI,UNION STEEL HOLDINGS LIMITED ,Industrials,SGD
1F4.SI,VASHION GROUP LTD. ,Industrials,SGD
40N.SI,VERSALINK HOLDINGS LIMITED ,Industrials,SGD
BIP.SI,VIBRANT GROUP LIMITED ,Industrials,SGD
BJD.SI,VIBROPOWER CORPORATION LIMITED ,Industrials,SGD
V01.SI,VICOM LTD ,Industrials,SGD
E3B.SI,WEE HUR HOLDINGS LTD. ,Industrials,SGD
5CN.SI,WINAS LIMITED ,Industrials,SGD
1A1.SI,WONG FONG INDUSTRIES LIMITED ,Industrials,SGD
B49.SI,WORLD PRECISION MACHINERY LTD ,Industrials,CNY
BQF.SI,XMH HOLDINGS LTD. ,Industrials,SGD
BS6.SI,YANGZIJIANG SHIPBLDG HLDGS LTD ,Industrials,CNY
SO7.SI,YANGZIJIANG SHIPBLDG HLDGS RMB ,Industrials,USD
BKX.SI,YONGMAO HOLDINGS LIMITED ,Industrials,SGD
AXB.SI,YONGNAM HOLDINGS LIMITED ,Industrials,SGD
MR8.SI,YORKSHINE HOLDINGS LIMITED ,Industrials,USD
40W.SI,ZICO HOLDINGS INC. ,Industrials,SGD
AZG.SI,8TELECOM INTL HOLDINGS CO LTD ,Information Technology,SGD
5GZ.SI,AA GROUP HOLDINGS LTD. ,Information Technology,SGD
A31.SI,ADDVALUE TECHNOLOGIES LTD ,Information Technology,USD
5TY.SI,ADVANCED SYSTEMS AUTOMATION ,Information Technology,SGD
AWX.SI,AEM HOLDINGS LTD ,Information Technology,SGD
5NK.SI,ARTIVISION TECHNOLOGIES LTD. ,Information Technology,SGD
5RE.SI,ASIA VETS HOLDINGS LTD. ,Information Technology,SGD
575.SI,ASTI HOLDINGS LIMITED ,Information Technology,SGD
BKY.SI,AVI-TECH ELECTRONICS LIMITED ,Information Technology,SGD
BBW.SI,AZEUS SYSTEMS HOLDINGS LTD. ,Information Technology,HKD
B26.SI,BAN LEONG TECHNOLOGIES LIMITED ,Information Technology,SGD
B69.SI,BROADWAY INDUSTRIAL GROUP LTD ,Information Technology,SGD
AWV.SI,CAPTII LIMITED ,Information Technology,SGD
BXE.SI,CDW HOLDING LIMITED ,Information Technology,USD
AVV.SI,CEI LIMITED ,Information Technology,SGD
C33.SI,CHUAN HUP HOLDINGS LIMITED ,Information Technology,SGD
539.SI,CPH LTD ,Information Technology,SGD
C76.SI,CREATIVE TECHNOLOGY LTD ,Information Technology,USD
544.SI,CSE GLOBAL LTD ,Information Technology,SGD
BKW.SI,DATAPULSE TECHNOLOGY LIMITED ,Information Technology,SGD
532.SI,DISA LIMITED ,Information Technology,SGD
MT1.SI,DRAGON GROUP INTL LIMITED ,Information Technology,USD
E16.SI,ELEC & ELTEK INT CO LTD ,Information Technology,USD
BIX.SI,ELLIPSIZ LTD ,Information Technology,SGD
BDF.SI,EXCELPOINT TECHNOLOGY LTD ,Information Technology,SGD
QS9.SI,GLOBAL INVACOM GROUP LIMITED ,Information Technology,USD
AYN.SI,GLOBAL TESTING CORPORATION LTD ,Information Technology,USD
G20.SI,GP INDUSTRIES LIMITED ,Information Technology,SGD
BLU.SI,GRP LTD ,Information Technology,SGD
41F.SI,GSS ENERGY LIMITED ,Information Technology,SGD
H17.SI,HI-P INTERNATIONAL LIMITED ,Information Technology,SGD
H16.SI,HUAN HSIN HOLDINGS LTD ,Information Technology,USD
571.SI,INTERNATIONAL PRESS SOFTCOM ,Information Technology,SGD
42N.SI,IPS SECUREX HOLDINGS LIMITED ,Information Technology,SGD
J03.SI,JADASON ENTERPRISES LTD ,Information Technology,SGD
K29.SI,KARIN TECHNOLOGY HLDGS LIMITED ,Information Technology,HKD
A27.SI,MDR LIMITED ,Information Technology,SGD
M11.SI,MFG INTEGRATION TECHNOLOGY LTD ,Information Technology,SGD
5DD.SI,MICRO-MECHANICS (HOLDINGS) LTD ,Information Technology,SGD
AWZ.SI,MULTI-CHEM LIMITED ,Information Technology,SGD
PJX.SI,MURATA MFG CO LTD 100 ,Information Technology,SGD
N01.SI,NERATELECOMMUNICATIONS LTD ,Information Technology,SGD
5GF.SI,NICO STEEL HOLDINGS LIMITED ,Information Technology,SGD
5HC.SI,NTEGRATOR INTERNATIONAL LTD ,Information Technology,SGD
5PI.SI,PLATO CAPITAL LIMITED ,Information Technology,SGD
BDA.SI,PNE INDUSTRIES LTD ,Information Technology,SGD
BCY.SI,POWERMATIC DATA SYSTEMS LTD ,Information Technology,SGD
BVQ.SI,PROCURRI CORPORATION LIMITED ,Information Technology,SGD
S69.SI,SERIAL SYSTEM LTD ,Information Technology,SGD
5CP.SI,SILVERLAKE AXIS LTD ,Information Technology,MYR
5EK.SI,SINOCLOUD GROUP LIMITED ,Information Technology,SGD
S71.SI,SUNRIGHT LTD ,Information Technology,SGD
BEV.SI,SWING MEDIA TECHNOLOGY GRP LTD ,Information Technology,USD
V2Y.SI,SYNAGIE CORPORATION LTD. ,Information Technology,SGD
T41.SI,TELECHOICE INTERNATIONAL LTD ,Information Technology,SGD
BRR.SI,THE STRATECH GROUP LIMITED ,Information Technology,SGD
5AB.SI,TREK 2000 INT'L LTD ,Information Technology,USD
558.SI,UMS HOLDINGS LIMITED ,Information Technology,SGD
BN2.SI,VALUETRONICS HOLDINGS LIMITED ,Information Technology,HKD
V03.SI,VENTURE CORPORATION LIMITED ,Information Technology,SGD
BDR.SI,WILLAS-ARRAY ELEC (HLDGS) LTD ,Information Technology,HKD
AFC.SI,YUUZOO NETWORKS GROUP CORP ,Information Technology,USD
1A4.SI,AGV GROUP LIMITED ,Materials,SGD
40F.SI,ALITA RESOURCES LIMITED ,Materials,SGD
43E.SI,ANCHOR RESOURCES LIMITED ,Materials,SGD
A52.SI,ANNAIK LIMITED ,Materials,SGD
5AU.SI,AP OIL INTERNATIONAL LIMITED ,Materials,SGD
5WV.SI,ASIAPHOS LIMITED ,Materials,SGD
U09.SI,AVARGA LIMITED ,Materials,SGD
I9T.SI,BM MOBILITY LTD. ,Materials,CNY
C05.SI,CHEMICAL INDUSTRIES ,Materials,SGD
C71.SI,CHINA PAPER HOLDINGS LIMITED ,Materials,USD
CH8.SI,CHINA SUNSINE CHEM HLDGS LTD. ,Materials,CNY
5TP.SI,CNMC GOLDMINE HOLDINGS LIMITED ,Materials,USD
D6U.SI,DYNAMIC COLOURS LIMITED ,Materials,SGD
S44.SI,ENGRO CORPORATION LIMITED ,Materials,SGD
L23.SI,ENVIRO-HUB HOLDINGS LTD ,Materials,SGD
BFT.SI,FABCHEM CHINA LIMITED ,Materials,SGD
OAJ.SI,FORTRESS MINERALS LIMITED ,Materials,SGD
BTY.SI,FULL APEX HOLDINGS) LIMITED ,Materials,USD
41T.SI,GCCP RESOURCES LIMITED ,Materials,SGD
1J7.SI,JAWALA INC. ,Materials,SGD
C8R.SI,JIUTIAN CHEMICAL GROUP LIMITED ,Materials,CNY
BEI.SI,LHT HOLDINGS LIMITED ,Materials,SGD
BAZ.SI,LION ASIAPAC LTD ,Materials,SGD
A78.SI,LIONGOLD CORP LTD ,Materials,SGD
NPW.SI,MALAYSIA SMELTING CORP BHD ,Materials,SGD
M15.SI,MATEX INTERNATIONAL LIMITED ,Materials,SGD
M30.SI,MEGHMANI ORGANICS LIMITED ,Materials,SGD
5MS.SI,MEMSTAR TECHNOLOGY LTD. ,Materials,USD
5EN.SI,MIDAS HLDGS LIMITED ,Materials,USD
N08.SI,NEW TOYO INT HLDGS LTD ,Materials,SGD
N02.SI,NSL LTD. ,Materials,SGD
5G4.SI,RICH CAPITAL HOLDINGS LIMITED ,Materials,SGD
1C3.SI,SAMURAI 2K AEROSOL LIMITED ,Materials,SGD
STP.SI,SILKROAD NICKEL LTD. ,Materials,SGD
S20.SI,STRAITS TRADING CO. LTD ,Materials,SGD
A7S.SI,SUNVIC CHEMICAL HOLDINGS LTD ,Materials,USD
T12.SI,TAT SENG PACKAGING GROUP LTD ,Materials,SGD
570.SI,TRANSIT-MIXED CONCRETE LTD ,Materials,SGD
43P.SI,UNITED GLOBAL LIMITED ,Materials,SGD
5F7.SI,WILTON RESOURCES CORP LIMITED ,Materials,IDR
502.SI,3CNERGY LIMITED ,Real Estate,SGD
BVP.SI,AIMS PROPERTY SECURITIES FUND ,Real Estate,SGD
AOF.SI,AMPLEFIELD LIMITED ,Real Estate,SGD
CLN.SI,APAC REALTY LIMITED ,Real Estate,SGD
CY6U.SI,ASCENDAS INDIA TRUST ,Real Estate,SGD
1F3.SI,ASPEN GROUP) HOLDINGS LIMITED ,Real Estate,MYR
A30.SI,ASPIAL CORPORATION LIMITED ,Real Estate,SGD
42S.SI,ASTAKA HOLDINGS LIMITED ,Real Estate,SGD
B61.SI,BUKIT SEMBAWANG ESTATES LTD ,Real Estate,SGD
BTE.SI,BUND CENTER INVESTMENT LTD ,Real Estate,SGD
1D5.SI,CAPITAL WORLD LIMITED. ,Real Estate,SGD
C31.SI,CAPITALAND LIMITED ,Real Estate,SGD
OU8.SI,CENTURION CORPORATION LIMITED ,Real Estate,SGD
BHD.SI,CHINA MINING INTERNATIONAL LTD ,Real Estate,SGD
5RA.SI,CHINA REAL ESTATE GRP LTD. ,Real Estate,SGD
BCD.SI,CHINA YUANBANG PROP HLDGS LTD ,Real Estate,SGD
C09.SI,CITY DEVELOPMENTS LIMITED ,Real Estate,SGD
CEDU.SI,DASIN RETAIL TRUST ,Real Estate,SGD
BTF.SI,DEBAO PROPERTY DEVELOPMENT LTD ,Real Estate,SGD
1C0.SI,EMERGING TOWNS&CITIES SING LTD ,Real Estate,SGD
O10.SI,FAR EAST ORCHARD LIMITED ,Real Estate,SGD
ADN.SI,FIRST SPONSOR GROUP LIMITED ,Real Estate,SGD
F31.SI,FRAGRANCE GROUP LIMITED ,Real Estate,SGD
TQ5.SI,FRASERS PROPERTY LIMITED ,Real Estate,SGD
586.SI,GLOBAL DRAGON LIMITED ,Real Estate,SGD
5PC.SI,GOODLAND GROUP LIMITED ,Real Estate,SGD
BDX.SI,GSH CORPORATION LIMITED ,Real Estate,SGD
F17.SI,GUOCOLAND LIMITED ,Real Estate,SGD
AWS.SI,GYP PROPERTIES LIMITED ,Real Estate,SGD
PH0.SI,HATTEN LAND LIMITED ,Real Estate,MYR
5DP.SI,HEETON HOLDINGS LIMITED ,Real Estate,SGD
5JK.SI,HIAP HOE LIMITED ,Real Estate,SGD
H13.SI,HO BEE LAND LIMITED ,Real Estate,SGD
H30.SI,HONG FOK CORPORATION LTD ,Real Estate,SGD
CTO.SI,HONG LAI HUAT GROUP LIMITED ,Real Estate,SGD
H78.SI,HONGKONG LAND HOLDINGS LIMITED ,Real Estate,USD
H19.SI,HWA HONG CORPORATION LIMITED ,Real Estate,SGD
5HT.SI,IMPERIUM CROWN LIMITED ,Real Estate,SGD
AZA.SI,IPC CORPORATION LIMITED ,Real Estate,SGD
AYB.SI,LAFE CORPORATION LIMITED ,Real Estate,SGD
BJL.SI,LCT HOLDINGS LIMITED ,Real Estate,CNY
41O.SI,LHN LIMITED ,Real Estate,SGD
F86.SI,MYP LTD. ,Real Estate,SGD
1H2.SI,OLIVE TREE ESTATES LIMITED ,Real Estate,SGD
LJ3.SI,OUE LIMITED ,Real Estate,SGD
5UX.SI,OXLEY HOLDINGS LIMITED ,Real Estate,SGD
1C5.SI,PACIFIC STAR DEVELOPMENT LTD ,Real Estate,SGD
P36.SI,PAN HONG HOLDINGS GROUP LTD ,Real Estate,CNY
40S.SI,PERENNIAL REAL ESTATE HLDGSLTD ,Real Estate,SGD
5AE.SI,POLLUX PROPERTIES LTD. ,Real Estate,SGD
OYY.SI,PROPNEX LIMITED ,Real Estate,SGD
UV1.SI,REGAL INTERNATIONAL GROUP LTD ,Real Estate,MYR
E8Z.SI,ROXY-PACIFIC HOLDINGS LIMITED ,Real Estate,SGD
A26.SI,SINARMAS LAND LIMITED ,Real Estate,SGD
5IC.SI,SING HOLDINGS LIMITED ,Real Estate,SGD
40V.SI,SINGAPORE EDEVELOPMENT LTD ,Real Estate,SGD
5H0.SI,SINGHAIYI GROUP LTD ,Real Estate,SGD
1J0.SI,SLB DEVELOPMENT LTD. ,Real Estate,SGD
5UA.SI,STARLAND HOLDINGS LIMITED ,Real Estate,SGD
S9B.SI,TEE LAND LIMITED ,Real Estate,SGD
BHO.SI,TOP GLOBAL LIMITED ,Real Estate,SGD
S2D.SI,TOSEI CORPORATION ,Real Estate,SGD
T24.SI,TUAN SING HOLDINGS LIMITED ,Real Estate,SGD
U04.SI,UNITED ENGINEERS LTD ORD ,Real Estate,SGD
U06.SI,UNITED INDUSTRIAL CORP LTD ,Real Estate,SGD
EH5.SI,UNITED OVERSEAS AUSTRALIA LTD ,Real Estate,SGD
U14.SI,UOL GROUP LIMITED ,Real Estate,SGD
W05.SI,WING TAI HLDGS LTD ,Real Estate,SGD
1E6.SI,WORLD CLASS GLOBAL LIMITED ,Real Estate,SGD
Z25.SI,YANLORD LAND GROUP LIMITED ,Real Estate,CNY
5DM.SI,YING LI INTL REAL ESTATE LTD ,Real Estate,CNY
Z59.SI,YOMA STRATEGIC HOLDINGS LTD ,Real Estate,USD
D79.SI,C&G ENV PROTECT HLDGS LTD ,Utilities,HKD
U9E.SI,CHINA EVERBRIGHT WATER LIMITED ,Utilities,HKD
BEH.SI,CHINA INTERNATIONAL HLDGS LTD ,Utilities,CNY
BWM.SI,CHINA JINJIANG ENV HLDG CO LTD ,Utilities,CNY
600.SI,HYFLUX LTD ,Utilities,USD
A7RU.SI,KEPPEL INFRA TRUST WEF 2015 ,Utilities,SGD
I11.SI,RENAISSANCE UNITED LIMITED ,Utilities,SGD
5DW.SI,RENEWABLE ENERGY ASIA GRP LTD ,Utilities,USD
BHK.SI,SIIC ENVIRONMENT HOLDINGS LTD. ,Utilities,CNY
1F2.SI,UNION GAS HOLDINGS LIMITED ,Utilities,SGD
